,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,12,ルイス・カンプサノ,.227,91,299,277,63,13,0,8,100,40,37,41,20,1,0,1,0,0,11,.281,.361,.642,.269,3,サンディエゴ・パドレス
1,捕,15,エリアス・ディアス,.265,96,351,325,86,20,0,6,124,39,27,69,20,4,0,2,0,0,15,.313,.382,.695,.250,4,サンディエゴ・パドレス
2,捕,20,カイル・ヒガシオカ,.220,84,263,246,54,10,1,17,117,45,29,74,15,0,1,1,2,0,3,.263,.476,.739,.176,9,サンディエゴ・パドレス
3,捕,29,ブレット・サリバン,.188,7,17,16,3,0,0,1,6,2,1,4,1,0,0,0,0,0,0,.235,.375,.610,.000,1,サンディエゴ・パドレス
4,内,2,ザンダー・ボガーツ,.264,111,463,428,113,15,1,11,163,44,50,79,28,1,0,6,13,3,13,.307,.381,.688,.262,9,サンディエゴ・パドレス
5,内,4,ルイス・アラエス,.314,150,672,637,200,32,3,4,250,46,83,29,24,8,2,1,9,3,18,.346,.392,.739,.366,9,サンディエゴ・パドレス
6,内,5,エギ・ロサリオ,.245,30,57,53,13,6,0,3,28,6,5,20,2,1,1,0,0,0,1,.286,.528,.814,.188,1,サンディエゴ・パドレス
7,内,7,金河成,.233,121,470,403,94,16,3,11,149,47,60,77,58,2,4,3,22,5,8,.330,.370,.700,.257,11,サンディエゴ・パドレス
8,内,9,ジェーク・クロネンワース,.241,155,656,577,139,29,3,17,225,83,72,118,61,11,1,3,5,2,19,.324,.390,.714,.261,6,サンディエゴ・パドレス
9,内,13,マニー・マチャド,.275,152,643,593,163,30,0,29,280,105,77,124,45,1,0,4,11,2,25,.325,.472,.797,.311,7,サンディエゴ・パドレス
10,内,14,タイラー・ウェード,.217,90,156,138,30,3,0,0,33,8,28,29,11,2,4,0,8,1,0,.285,.239,.524,.226,3,サンディエゴ・パドレス
11,内,16,ニック・アーメッド,.229,71,228,210,48,6,1,2,62,17,20,51,11,1,3,3,2,1,6,.267,.295,.562,.245,3,サンディエゴ・パドレス
12,内,18,メイソン・マッコイ,.204,19,57,49,10,2,0,0,12,3,7,19,5,0,3,0,1,0,2,.278,.245,.523,.231,0,サンディエゴ・パドレス
13,内,39,ドノバン・ソラノ,.286,96,309,283,81,13,0,8,118,35,31,65,22,3,0,1,2,1,6,.343,.417,.760,.237,1,サンディエゴ・パドレス
14,外,3,ジャクソン・メリル,.292,156,593,554,162,31,6,24,277,90,77,101,29,1,4,5,16,3,2,.326,.500,.826,.268,3,サンディエゴ・パドレス
15,外,10,ジュリクソン・プロファー,.280,158,668,564,158,29,0,24,259,85,94,101,76,18,5,5,10,3,14,.380,.459,.839,.321,1,サンディエゴ・パドレス
16,外,23,フェルナンド・タティス,.276,102,438,398,110,21,1,21,196,49,64,96,32,7,0,1,11,3,8,.340,.492,.833,.244,5,サンディエゴ・パドレス
17,外,24,デービッド・ペラルタ,.267,91,260,236,63,11,0,8,98,28,35,54,22,2,0,0,2,0,3,.335,.415,.750,.273,1,サンディエゴ・パドレス
18,外,27,ブライス・ジョンソン,.206,47,73,63,13,2,0,0,15,4,9,12,7,0,3,0,1,1,1,.286,.238,.524,.200,0,サンディエゴ・パドレス
19,外,28,ブランドン・ロックリッジ,.167,12,12,12,2,0,0,1,5,1,4,4,0,0,0,0,2,0,0,.167,.417,.583,.000,0,サンディエゴ・パドレス
20,外,-,ティルソ・オルネラス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,サンディエゴ・パドレス
