,背番号,選手名,防御率,登板,先発,完投,完封,ＱＳ,勝利,敗戦,ホールド,セーブ,勝率,投球回,被安打,被本塁打,奪三振,奪三振率,与四球,与死球,暴投,ボーク,失点,自責点,被打率,Ｋ／ＢＢ,ＷＨＩＰ,Team
0,0,マーカス・ストローマン,4.31,30,29,0,0,9,10,9,0,1,.526,154.2,167,19,113,6.58,60,8,2,0,81,74,.277,1.88,1.47,ニューヨーク・ヤンキース
1,30,ルーク・ウィーバー,2.89,62,0,0,0,0,7,3,22,4,.700,84,52,10,103,11.04,26,4,1,0,28,27,.176,3.96,0.93,ニューヨーク・ヤンキース
2,34,Ｊ．Ｔ．ブルベイカー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・ヤンキース
3,35,クレイ・ホームズ,3.14,67,0,0,0,0,3,5,2,30,.375,63,60,4,68,9.71,22,3,4,0,29,22,.248,3.09,1.30,ニューヨーク・ヤンキース
4,36,クラーク・シュミット,2.85,16,16,0,0,2,5,5,0,0,.500,85.1,71,8,93,9.81,30,9,2,0,31,27,.230,3.10,1.18,ニューヨーク・ヤンキース
5,38,マーク・ライターＪｒ．,4.50,60,0,0,0,0,4,5,15,0,.444,58,55,8,86,13.34,22,3,5,0,34,29,.238,3.91,1.33,ニューヨーク・ヤンキース
6,41,トミー・ケンリー,2.11,50,0,0,0,0,0,2,16,1,.000,42.2,30,5,46,9.70,19,2,1,0,16,10,.190,2.42,1.15,ニューヨーク・ヤンキース
7,43,ホナタン・ロアイシガ,0.00,3,0,0,0,0,1,0,0,0,1.000,4,7,0,3,6.75,1,0,0,0,0,0,.368,3.00,2.00,ニューヨーク・ヤンキース
8,45,ゲリット・コール,3.41,17,17,0,0,8,8,5,0,0,.615,95,78,11,99,9.38,29,6,0,0,38,36,.220,3.41,1.13,ニューヨーク・ヤンキース
9,54,ティム・ヒル,3.36,62,0,0,0,0,4,0,4,0,1.000,67,77,2,31,4.16,19,2,0,0,32,25,.289,1.63,1.43,ニューヨーク・ヤンキース
10,55,カルロス・ロドン,3.96,32,32,0,0,16,16,9,0,0,.640,175,157,31,195,10.03,57,10,3,2,81,77,.235,3.42,1.22,ニューヨーク・ヤンキース
11,56,ルー・トリビノ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ニューヨーク・ヤンキース
12,58,ティム・メイザ,6.33,50,0,0,0,0,0,2,8,0,.000,42.2,54,5,28,5.91,15,1,1,0,34,30,.309,1.87,1.62,ニューヨーク・ヤンキース
13,59,スコット・エフロス,5.40,3,0,0,0,0,0,0,0,0,.000,3.1,3,1,2,5.40,2,0,0,0,2,2,.250,1.00,1.50,ニューヨーク・ヤンキース
14,61,ジェーク・カズンズ,2.37,37,0,0,0,0,2,1,8,1,.667,38,20,5,53,12.55,20,5,4,0,14,10,.154,2.65,1.05,ニューヨーク・ヤンキース
15,65,ネストル・コルテス,3.77,31,30,0,0,13,9,10,0,0,.474,174.1,162,24,162,8.36,39,4,2,1,74,73,.245,4.15,1.15,ニューヨーク・ヤンキース
16,71,イアン・ハミルトン,3.82,35,0,0,0,0,0,1,11,1,.000,37.2,37,2,41,9.80,14,3,0,0,17,16,.261,2.93,1.35,ニューヨーク・ヤンキース
17,72,コディ・ポティート,2.22,5,4,0,0,1,3,0,0,0,1.000,24.1,18,2,16,5.92,8,1,1,0,7,6,.207,2.00,1.07,ニューヨーク・ヤンキース
18,81,ルイス・ギル,3.50,29,29,0,0,10,15,7,0,0,.682,151.2,104,18,171,10.15,77,8,6,2,60,59,.189,2.22,1.19,ニューヨーク・ヤンキース
19,85,クレイトン・ビーテル,4.91,3,0,0,0,0,0,0,0,0,.000,3.2,4,0,5,12.27,1,0,0,0,2,2,.286,5.00,1.36,ニューヨーク・ヤンキース
20,92,ヨエンドリス・ゴメス,3.97,5,0,0,0,0,0,0,0,0,.000,11.1,11,2,10,7.94,7,1,1,0,5,5,.250,1.43,1.59,ニューヨーク・ヤンキース
21,98,ウィル・ウォーレン,10.32,6,5,0,0,0,0,3,0,0,.000,22.2,33,5,29,11.51,10,1,0,2,27,26,.340,2.90,1.90,ニューヨーク・ヤンキース
22,39,ホセ・トレビノ,13.50,2,0,0,0,0,0,0,0,0,.000,2,5,0,0,0.00,2,0,0,0,3,3,.455,0.00,3.50,ニューヨーク・ヤンキース
23,95,オスワルド・カブレラ,0.00,1,0,0,0,0,0,0,0,0,.000,0.1,0,0,0,0.00,2,0,0,0,0,0,.000,0.00,6.00,ニューヨーク・ヤンキース
