,対戦チーム,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策
0,オリオールズ,.333,4,19,18,6,0,1,2,14,5,4,2,1,0,0,0,0,0,0,.368,.778,1.146,.400,0
1,Rソックス,.250,7,31,28,7,0,0,1,10,2,4,6,2,0,0,0,0,1,0,.300,.357,.657,.400,0
2,Wソックス,.440,7,31,25,11,0,1,7,34,10,11,9,5,1,0,0,1,0,0,.548,1.360,1.908,.333,0
3,ガーディアンズ,.200,3,14,10,2,1,0,0,3,2,0,6,3,0,0,0,1,0,0,.385,.300,.685,.500,0
4,ロイヤルズ,.261,6,27,23,6,1,0,3,16,6,4,5,3,0,0,1,0,1,1,.333,.696,1.029,.500,0
5,ブリュワーズ,.417,3,13,12,5,0,0,1,8,1,1,1,1,0,0,0,2,1,1,.462,.667,1.128,.000,0
6,ツインズ,.200,3,12,10,2,0,0,1,5,1,1,4,2,0,0,0,0,0,0,.333,.500,.833,.000,0
7,ヤンキース,.100,3,13,10,1,0,0,1,4,2,2,3,2,0,0,0,1,0,0,.250,.400,.650,.167,0
8,アスレチックス,.333,7,32,30,10,2,1,2,20,7,6,9,1,0,0,0,2,1,0,.355,.667,1.022,.333,0
9,マリナーズ,.409,6,25,22,9,1,0,3,19,7,4,4,3,0,0,0,0,0,1,.480,.864,1.344,.333,0
10,レンジャーズ,.375,7,34,24,9,1,0,4,22,9,7,2,9,0,0,1,1,0,0,.529,.917,1.446,.500,0
11,ブルージェイズ,.417,3,14,12,5,2,0,1,10,2,4,4,2,0,0,0,0,0,0,.500,.833,1.333,.000,0
12,カブス,.273,3,14,11,3,1,0,1,7,1,2,3,3,0,0,0,2,0,0,.429,.636,1.065,.000,0
13,アストロズ,.310,7,31,29,9,4,1,1,18,7,3,7,1,0,0,0,0,0,1,.333,.621,.954,.500,0
14,ドジャース,.000,2,8,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,.125,.000,.125,.000,0
15,ナショナルズ,.143,2,8,7,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,.250,.143,.393,.500,0
16,カージナルス,.500,2,10,8,4,1,0,0,5,1,2,1,2,0,0,0,0,0,0,.600,.625,1.225,1.000,0
17,パドレス,.000,1,5,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.400,.000,.400,.000,0
18,ロッキーズ,.375,3,16,16,6,1,1,1,12,3,3,3,0,0,0,0,0,0,1,.375,.750,1.125,.400,0
19,マーリンズ,.083,3,13,12,1,0,0,0,1,0,0,5,1,0,0,0,1,0,2,.154,.083,.237,.000,1
20,Dバックス,.200,3,12,10,2,0,0,2,8,2,3,4,2,0,0,0,0,0,0,.333,.800,1.133,.000,0
